word	type
muffled	descriptor
destructive	descriptor
scary	emotion
joyful	emotion
agitated	emotion
alleviating	emotion
disturbing	emotion
nostalgic	emotion
unpleasant	emotion
irksome	emotion
uplifting	emotion
light	emotion
spontaneous	emotion
relaxing	emotion
panic	emotion
warm	emotion
unconscious	emotion
exploratory	emotion
defensive	emotion
escape	emotion
awe	emotion
conversational	emotion
expectant	emotion
satisfying	emotion
trudging	emotion
proximate	emotion
distressing	emotion
blaring	emotion
spinning	emotion
loose	emotion
reliable	emotion
confusing	emotion
cringe	emotion
playful	emotion
alerted	emotion
fearful	emotion
energetic	emotion
claustrophobic	emotion
homey	emotion
reassuring	emotion
cartoonish	emotion
mechanical	emotion
ardent	emotion
horrific	emotion
suspense	emotion
synthesized	emotion
quick	emotion
nature	emotion
busy	emotion
regal	emotion
brutal	emotion
focussed	emotion
dropping	emotion
antiseptic	emotion
warmth	emotion
funny	emotion
anticipatory	emotion
energizing	emotion
dizzy	emotion
panicked	emotion
texture	emotion
emotional	emotion
refreshing	emotion
bored	emotion
abrupt	emotion
sad	emotion
pain	emotion
peaceful	emotion
itchy	emotion
edgy	emotion
furious	emotion
jarring	emotion
dignified	emotion
strength	emotion
proud	emotion
sexy	emotion
excited	emotion
spooky	emotion
curious	emotion
sharp	emotion
mellow	emotion
strange	emotion
intriguing	emotion
alarmed	emotion
happy	emotion
finality	emotion
pause	emotion
fuzz	emotion
affection	emotion
comical	emotion
acute	emotion
oppressive	emotion
artificial	emotion
dangerous	emotion
displeased	emotion
rhythmic	emotion
annoying	emotion
swift	emotion
strident	emotion
warning	emotion
silly	emotion
peace	emotion
chaotic	emotion
oops	emotion
questioning	emotion
brash	emotion
tone	emotion
travel	emotion
fear	emotion
twinkly	emotion
calming	emotion
sorrow	emotion
walking	emotion
settling	emotion
unsettling	emotion
cheerful	emotion
explosive	emotion
terrifying	emotion
foreign	emotion
esoteric	emotion
sudden	emotion
unfulfilled	emotion
angry	emotion
saccharine	emotion
annoyed	emotion
urgent	emotion
probing	emotion
comforting	emotion
rushed	emotion
hot	emotion
grainy	emotion
animal	emotion
shock	emotion
release	emotion
mystic	emotion
dynamic	emotion
soft	emotion
chill	emotion
noisy	emotion
humorous	emotion
empty	emotion
blank	emotion
alert	emotion
tranquil	emotion
impatient	emotion
overwhelming	emotion
impending	emotion
irritating	emotion
surprised	emotion
welcoming	emotion
movement	emotion
neurotic	emotion
humourous	emotion
neutral	emotion
industrious	emotion
worried	emotion
boring	emotion
jaunty	emotion
amusing	emotion
fast	emotion
abrasive	emotion
motion	emotion
tense	emotion
purposeful	emotion
relieved	emotion
anxious	emotion
comfortable	emotion
determined	emotion
hungry	emotion
antagonistic	emotion
relaxed	emotion
approach	emotion
upset	emotion
frustrating	emotion
startled	emotion
confused	emotion
surprising	emotion
ripping	emotion
touching	emotion
naturalistic	emotion
exciting	emotion
immersed	emotion
papery	emotion
watery	emotion
awkward	emotion
gravity	emotion
focused	emotion
desolate	emotion
flutter	emotion
timid	emotion
intense	emotion
chromatic	emotion
alerting	emotion
high	emotion
ominous	emotion
rush	emotion
unwelcome	emotion
courtly	emotion
danger	emotion
smoothed	emotion
unknown	emotion
falling	emotion
uneasy	emotion
anguish	emotion
awful	emotion
stressed	emotion
wonderment	emotion
breezy	emotion
hollow	emotion
uncomfortable	emotion
alarm	emotion
concerning	emotion
jelly	emotion
sand	emotion
moist	emotion
carefree	emotion
negative	emotion
bright	emotion
nerdy	emotion
radar	emotion
calm	emotion
moody	emotion
clumsy	emotion
unnerving	emotion
shrill	emotion
mysterious	emotion
inspired	emotion
impactful	emotion
torrential	emotion
gentle	emotion
painful	emotion
harmonious	emotion
alarming	emotion
clunky	emotion
smooth	emotion
depth	emotion
jangling	emotion
melancholy	emotion
freeing	emotion
enticing	emotion
positive	emotion
mulled	emotion
stimulating	emotion
assertive	emotion
unidentifiable	emotion
open	emotion
inquisitive	emotion
accidental	emotion
futuristic	emotion
amused	emotion
speed	emotion
whisper	emotion
growing	emotion
dark	emotion
mystified	emotion
intimacy	emotion
agitating	emotion
delighted	emotion
otherworldly	emotion
emergency	emotion
stressful	emotion
romantic	emotion
crackle	emotion
hopeful	emotion
action	emotion
scare	emotion
upbeat	emotion
intrigued	emotion
overwhelmed	emotion
elastic	emotion
gross	emotion
undulate	emotion
enervating	emotion
powerful	emotion
comfort	emotion
suspenseful	emotion
hectic	emotion
natural	emotion
steadiness	emotion
majestic	emotion
implacability	emotion
close	emotion
loud	emotion
encouraging	emotion
tension	emotion
indifferent	emotion
deliberate	emotion
cautious	emotion
pleasant	emotion
urgency	emotion
textural	emotion
alive	emotion
profound	emotion
anticipation	emotion
nervous	emotion
tight	emotion
comedic	emotion
amazonian	emotion
