word	type
questioning	emotion
amusing	emotion
impending	emotion
humourous	emotion
irksome	emotion
excited	emotion
exploratory	emotion
implacability	emotion
alleviating	emotion
oppressive	emotion
positive	emotion
probing	emotion
abrasive	emotion
strange	emotion
ominous	emotion
enervating	emotion
unnerving	emotion
comfort	emotion
acute	emotion
smooth	emotion
warm	emotion
humorous	emotion
painful	emotion
alarming	emotion
sad	emotion
alerted	emotion
dropping	emotion
distressing	emotion
welcoming	emotion
frustrating	emotion
speed	emotion
surprising	emotion
annoyed	emotion
spooky	emotion
scare	emotion
anguish	emotion
movement	emotion
fearful	emotion
peace	emotion
jangling	emotion
chromatic	emotion
timid	emotion
expectant	emotion
stressful	emotion
concerning	emotion
unwelcome	emotion
agitated	emotion
indifferent	emotion
watery	emotion
energetic	emotion
furious	emotion
anticipation	emotion
spinning	emotion
alerting	emotion
crackle	emotion
edgy	emotion
fear	emotion
nervous	emotion
overwhelmed	emotion
itchy	emotion
high	emotion
shrill	emotion
hectic	emotion
bored	emotion
harmonious	emotion
funny	emotion
conversational	emotion
uplifting	emotion
clumsy	emotion
intriguing	emotion
tension	emotion
mystified	emotion
jarring	emotion
otherworldly	emotion
touching	emotion
scary	emotion
textural	emotion
amused	emotion
smoothed	emotion
worried	emotion
neurotic	emotion
emergency	emotion
dangerous	emotion
playful	emotion
unknown	emotion
radar	emotion
peaceful	emotion
disturbing	emotion
depth	emotion
chill	emotion
curious	emotion
grainy	emotion
intense	emotion
rushed	emotion
negative	emotion
relieved	emotion
awful	emotion
suspenseful	emotion
terrifying	emotion
unconscious	emotion
proximate	emotion
anticipatory	emotion
ripping	emotion
jelly	emotion
delighted	emotion
fast	emotion
displeased	emotion
strident	emotion
upset	emotion
agitating	emotion
urgent	emotion
relaxing	emotion
pleasent	emotion
esoteric	emotion
mystic	emotion
joyful	emotion
awe	emotion
dark	emotion
spontaneous	emotion
chaotic	emotion
torrential	emotion
purposeful	emotion
courtly	emotion
texture	emotion
focused	emotion
shock	emotion
reassuring	emotion
antiseptic	emotion
calming	emotion
ardent	emotion
soft	emotion
sharp	emotion
close	emotion
whisper	emotion
carefree	emotion
hungry	emotion
alive	emotion
mechanical	emotion
comedic	emotion
approach	emotion
assertive	emotion
warmth	emotion
tense	emotion
hollow	emotion
anxious	emotion
loud	emotion
strength	emotion
dignified	emotion
hopeful	emotion
nerdy	emotion
oops	emotion
nostalgic	emotion
motion	emotion
amazonian	emotion
elastic	emotion
settling	emotion
confusing	emotion
overwhelming	emotion
noisy	emotion
unsettling	emotion
cringe	emotion
energizing	emotion
quick	emotion
relaxed	emotion
proud	emotion
cartoonish	emotion
busy	emotion
warning	emotion
deliberate	emotion
homey	emotion
brutal	emotion
unpleasant	emotion
encouraging	emotion
cautious	emotion
cheerful	emotion
gravity	emotion
profound	emotion
claustrophobic	emotion
naturalistic	emotion
moody	emotion
saccharine	emotion
walking	emotion
jaunty	emotion
enticing	emotion
defensive	emotion
trudging	emotion
twinkly	emotion
clunky	emotion
impactful	emotion
release	emotion
romantic	emotion
desolate	emotion
refreshing	emotion
impatient	emotion
silly	emotion
upbeat	emotion
intrigued	emotion
confused	emotion
sorrow	emotion
majestic	emotion
stimulating	emotion
sand	emotion
escape	emotion
comforting	emotion
comical	emotion
dizzy	emotion
travel	emotion
irritating	emotion
hot	emotion
startled	emotion
mysterious	emotion
inquisitive	emotion
neutral	emotion
gross	emotion
animal	emotion
pause	emotion
bright	emotion
futuristic	emotion
freeing	emotion
explosive	emotion
empty	emotion
pleasant	emotion
moist	emotion
brash	emotion
unidentifiable	emotion
rush	emotion
abrupt	emotion
finality	emotion
alert	emotion
intimacy	emotion
nature	emotion
action	emotion
natural	emotion
light	emotion
calm	emotion
sudden	emotion
powerful	emotion
sexy	emotion
reliable	emotion
alarmed	emotion
swift	emotion
tranquil	emotion
papery	emotion
rhythmic	emotion
accidental	emotion
synthesized	emotion
undulate	emotion
breezy	emotion
panicked	emotion
alarm	emotion
panic	emotion
growing	emotion
wonderment	emotion
mellow	emotion
stressed	emotion
awkward	emotion
boring	emotion
loose	emotion
open	emotion
exciting	emotion
foreign	emotion
industrious	emotion
gentle	emotion
tight	emotion
determined	emotion
suspense	emotion
pain	emotion
uncomfortable	emotion
annoying	emotion
steadiness	emotion
antagonistic	emotion
comfortable	emotion
happy	emotion
artificial	emotion
immersed	emotion
falling	emotion
urgency	emotion
mulled	emotion
uneasy	emotion
tone	emotion
affection	emotion
flutter	emotion
focussed	emotion
emotional	emotion
horrific	emotion
fuzz	emotion
inspired	emotion
surprised	emotion
danger	emotion
angry	emotion
dynamic	emotion
